name,path,size,file_or_dir
1628a42af77ae54c3b26182a88e7eb77c9fdbf,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\35,162,file
ae4e6d4637aa0ae8f230ade5a96cd55f2e08cd,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\36,348,file
0a214a3633edc2ed1e6eae3f3fbd270e0b8104,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\38,88,file
dd156ccd47a2f9c6d98663b4ebe68540b035aa,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\38,263,file
7b77612c4628f8dea6a3c3077dba8bab6a2247,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\3a,246,file
be5517a7e2a7bae3078bad6563bf2b85205129,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\3a,167,file
dbc67e892250e7280899fabd0ad5e46cfa94dc,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\3a,228,file
e4368272e1cc11b8034828234c4568d6dbf450,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\3a,158,file
38ff43c267a3a27d4ad0cadd9e6387aeac22c5,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\3d,2858,file
dab4b5c4ff4fdf596124f5c0c581c2b517cb14,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\3f,59,file
c7d34ba2bd57317283d801c3e217370924e078,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\41,59,file
0233780e30fff691b925a872c4289bad95a015,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\44,539,file
098e738fa4da3d59e1b64b54eea1f40392d3c5,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\47,880,file
2a51e65af3fbbfb9ec09640c6be8c5afd18eb4,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\4f,735,file
7735fadfd472573a29d924df2734dfe5f4dc96,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\4f,1944,file
10108130e1f3eb465b635e1d84695653d5b30b,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\50,206,file
e6e00e2528cc790c7056fefb46511d6ca18a78,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\50,174,file
1b649ae7004b380752440b718fef52f6165371,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\52,59,file
15be329b9f0f5a596c9735929fab21c47cc87b,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\54,212,file
81c2d6f82281406c50958cf1e80a24f0151bb0,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\55,1816,file
87a320f486c69aa9380219ed6c06a5665a7746,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\55,111,file
091af66e11a94bfb456cd6f9ef595a02c0222f,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\57,196,file
58c1c10f75405003c0fb60bf70ee50d62e9446,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\58,122,file
aeb49d4eba4a13030c3defa09ecc433d6eecb8,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\58,1540,file
4318c28e6ada07538c9cb28239dcce784f9843,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\59,83,file
ce192910a54cc686dc86c108d9da56dcff0235,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\59,658,file
b7f1302dae99160300d99a186b38068e27aea0,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\5d,559,file
9a440359d20f477056738a0aa485ddcef5d095,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\5e,215,file
6e9dfe42a56a25d794a569dedac2f6a3943cfe,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\5f,55,file
ffd0456d4117b826fec1f79e27ac5583e79447,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\5f,125,file
fbd662e312a1b26e0e2bdeeb48f13d0d149037,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\63,627,file
3d41d28171573feb1f132604bf84eb0948b277,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\64,1509,file
ede036a93db3c4a61a67d9f3003edfd004f667,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\65,179,file
bc17f9ff2104a9d7b6777058bb4c343ca72609,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\68,1544,file
3efb8c9fc95b4b42aa22fb5d70b0b2f626af02,F:\GIT\Python_Seminar\first_project\Python_next_deep\.git\objects\69,368,file
